,Name,Price,Year,Make,Model,Body Type
0,acura mdx,39550,2004,acura,mdx,sport utility
1,acura nsx,89000,2004,acura,nsx,coupe
2,acura rl,44427,2004,acura,rl,sedan
3,acura rsx,21672,2004,acura,rsx,hatchback
4,acura tl,33750,2004,acura,tl,sedan
5,acura tsx,27490,2004,acura,tsx,wagon
6,acura mdx,40437,2005,acura,mdx,sport utility
7,acura nsx,89000,2005,acura,nsx,coupe
8,acura rl,49100,2005,acura,rl,sedan
9,acura rsx,21972,2005,acura,rsx,hatchback
10,acura tl,34200,2005,acura,tl,sedan
11,acura tsx,28190,2005,acura,tsx,wagon
12,acura mdx,40662,2006,acura,mdx,sport utility
13,acura rl,51200,2006,acura,rl,sedan
14,acura rsx,22085,2006,acura,rsx,hatchback
15,acura tl,34425,2006,acura,tl,sedan
16,acura tsx,28890,2006,acura,tsx,wagon
17,acura mdx,43895,2007,acura,mdx,sport utility
18,acura rdx,34745,2007,acura,rdx,sport utility
19,acura rl,49490,2007,acura,rl,sedan
20,acura tl,35975,2007,acura,tl,sedan
21,acura tsx,29090,2007,acura,tsx,wagon
22,acura mdx,44095,2008,acura,mdx,sport utility
23,acura rdx,34945,2008,acura,rdx,sport utility
24,acura rl,49990,2008,acura,rl,sedan
25,acura tl,36075,2008,acura,tl,sedan
26,acura tsx,29240,2008,acura,tsx,wagon
27,acura mdx,44940,2009,acura,mdx,sport utility
28,acura rdx,35545,2009,acura,rdx,sport utility
29,acura rl,50390,2009,acura,rl,sedan
30,acura tl,39095,2009,acura,tl,sedan
31,acura tsx,30710,2009,acura,tsx,wagon
32,acura mdx,47992,2010,acura,mdx,sport utility
33,acura rdx,35070,2010,acura,rdx,sport utility
34,acura rl,50540,2010,acura,rl,sedan
35,acura tl,39245,2010,acura,tl,sedan
36,acura tsx,33630,2010,acura,tsx,wagon
37,acura zdx,50770,2010,acura,zdx,hatchback
38,acura mdx,48692,2011,acura,mdx,sport utility
39,acura rdx,35445,2011,acura,rdx,sport utility
40,acura rl,51175,2011,acura,rl,sedan
41,acura tl,39445,2011,acura,tl,sedan
42,acura tsx,33930,2011,acura,tsx,wagon
43,acura zdx,51295,2011,acura,zdx,hatchback
44,acura mdx,48792,2012,acura,mdx,sport utility
45,acura rdx,35445,2012,acura,rdx,sport utility
46,acura rl,52175,2012,acura,rl,sedan
47,acura tl,40445,2012,acura,tl,sedan
48,acura tsx,34330,2012,acura,tsx,wagon
49,acura zdx,51395,2012,acura,zdx,hatchback
50,acura ilx,30150,2013,acura,ilx,sedan
51,acura mdx,49042,2013,acura,mdx,sport utility
52,acura rdx,36870,2013,acura,rdx,sport utility
53,acura tl,40645,2013,acura,tl,sedan
54,acura tsx,34830,2013,acura,tsx,wagon
55,acura zdx,50920,2013,acura,zdx,hatchback
56,acura ilx,30750,2014,acura,ilx,sedan
57,acura mdx,49397,2014,acura,mdx,sport utility
58,acura rdx,37070,2014,acura,rdx,sport utility
59,acura rlx,57200,2014,acura,rlx,sedan
60,acura tl,40770,2014,acura,tl,sedan
61,acura tsx,34955,2014,acura,tsx,wagon
62,acura ilx,29400,2015,acura,ilx,sedan
63,acura mdx,49872,2015,acura,mdx,sport utility
64,acura rdx,37645,2015,acura,rdx,sport utility
65,acura rlx,54450,2015,acura,rlx,sedan
66,acura tlx,38122,2015,acura,tlx,sedan
67,acura ilx,31395,2016,acura,ilx,sedan
68,acura mdx,50122,2016,acura,mdx,sport utility
69,acura rdx,39445,2016,acura,rdx,sport utility
70,acura rlx,58450,2016,acura,rlx,sedan
71,acura tlx,38247,2016,acura,tlx,sedan
72,acura ilx,31485,2017,acura,ilx,sedan
73,acura mdx,51275,2017,acura,mdx,sport utility
74,acura nsx,156000,2017,acura,nsx,coupe
75,acura rdx,39745,2017,acura,rdx,sport utility
76,acura rlx,60200,2017,acura,rlx,sedan
77,acura tlx,38450,2017,acura,tlx,sedan
78,acura ilx,31600,2018,acura,ilx,sedan
79,acura mdx,51425,2018,acura,mdx,sport utility
80,acura nsx,156000,2018,acura,nsx,coupe
81,acura rdx,40100,2018,acura,rdx,sport utility
82,acura rlx,58400,2018,acura,rlx,sedan
83,acura tlx,39375,2018,acura,tlx,sedan
84,acura ilx,28725,2019,acura,ilx,sedan
85,acura mdx,52175,2019,acura,mdx,sport utility
86,acura nsx,157500,2019,acura,nsx,coupe
87,acura rdx,42450,2019,acura,rdx,sport utility
88,acura rlx,58400,2019,acura,rlx,sedan
89,acura tlx,39475,2019,acura,tlx,sedan
90,alfa romeo 4c,61150,2015,alfa romeo,4c,convertible
91,alfa romeo 4c,60900,2016,alfa romeo,4c,convertible
92,alfa romeo 4c,55900,2017,alfa romeo,4c,convertible
93,alfa romeo giulia,54997,2017,alfa romeo,giulia,sedan
94,alfa romeo 4c,60900,2018,alfa romeo,4c,convertible
95,alfa romeo giulia,55947,2018,alfa romeo,giulia,sedan
96,alfa romeo stelvio,60895,2018,alfa romeo,stelvio,sport utility
97,alfa romeo 4c,66900,2019,alfa romeo,4c,convertible
98,alfa romeo giulia,56145,2019,alfa romeo,giulia,sedan
99,alfa romeo stelvio,60145,2019,alfa romeo,stelvio,sport utility
100,aston martin vanquish,234260,2004,aston martin,vanquish,convertible
101,aston martin db9,164000,2005,aston martin,db9,convertible
102,aston martin vanquish,255000,2005,aston martin,vanquish,convertible
103,aston martin db9,169750,2006,aston martin,db9,convertible
104,aston martin v8 vantage,110000,2006,aston martin,v8 vantage,coupe
105,aston martin vanquish,260000,2006,aston martin,vanquish,convertible
106,aston martin db9,171150,2007,aston martin,db9,convertible
107,aston martin v8 vantage,119200,2007,aston martin,v8 vantage,coupe
108,aston martin db9,173000,2008,aston martin,db9,convertible
109,aston martin dbs,262000,2008,aston martin,dbs,convertible
110,aston martin v8 vantage,120000,2008,aston martin,v8 vantage,coupe
111,aston martin db9,191200,2009,aston martin,db9,convertible
112,aston martin dbs,269000,2009,aston martin,dbs,convertible
113,aston martin v8 vantage,128000,2009,aston martin,v8 vantage,coupe
114,aston martin db9,189270,2010,aston martin,db9,convertible
115,aston martin dbs,272750,2010,aston martin,dbs,convertible
116,aston martin rapide,197850,2010,aston martin,rapide,sedan
117,aston martin v8 vantage,127550,2010,aston martin,v8 vantage,coupe
118,aston martin db9,197133,2011,aston martin,db9,convertible
119,aston martin dbs,275477,2011,aston martin,dbs,convertible
120,aston martin rapide,217372,2011,aston martin,rapide,sedan
121,aston martin v12 vantage,186265,2011,aston martin,v12 vantage,convertible
122,aston martin v8 vantage,134175,2011,aston martin,v8 vantage,coupe
123,aston martin db9,200868,2012,aston martin,db9,convertible
124,aston martin dbs,285724,2012,aston martin,dbs,convertible
125,aston martin rapide,217372,2012,aston martin,rapide,sedan
126,aston martin v12 vantage,188215,2012,aston martin,v12 vantage,convertible
127,aston martin v8 vantage,134175,2012,aston martin,v8 vantage,coupe
128,aston martin virage,215395,2012,aston martin,virage,convertible
129,aston martin db9,190800,2013,aston martin,db9,convertible
130,aston martin v12 vantage,180600,2013,aston martin,v12 vantage,convertible
131,aston martin v8 vantage,136650,2013,aston martin,v8 vantage,coupe
132,aston martin db9,191200,2014,aston martin,db9,convertible
133,aston martin rapide s,198250,2014,aston martin,rapide s,sedan
134,aston martin v8 vantage,133800,2014,aston martin,v8 vantage,coupe
135,aston martin vanquish,288145,2014,aston martin,vanquish,convertible
136,aston martin db9,200795,2015,aston martin,db9,convertible
137,aston martin rapide s,203295,2015,aston martin,rapide s,sedan
138,aston martin v12 vantage,189445,2015,aston martin,v12 vantage,convertible
139,aston martin v8 vantage,121700,2015,aston martin,v8 vantage,coupe
140,aston martin vanquish,292295,2015,aston martin,vanquish,convertible
141,aston martin db9,216778,2016,aston martin,db9,convertible
142,aston martin rapide s,206000,2016,aston martin,rapide s,sedan
143,aston martin v12 vantage,186295,2016,aston martin,v12 vantage,convertible
144,aston martin v8 vantage,126047,2016,aston martin,v8 vantage,coupe
145,aston martin vanquish,304172,2016,aston martin,vanquish,convertible
146,aston martin db11,221170,2017,aston martin,db11,convertible
147,aston martin rapide s,205475,2017,aston martin,rapide s,sedan
148,aston martin v12 vantage,193445,2017,aston martin,v12 vantage,convertible
149,aston martin vanquish,300300,2017,aston martin,vanquish,convertible
150,aston martin db11,207745,2018,aston martin,db11,convertible
151,aston martin v8 vantage,149995,2018,aston martin,v8 vantage,coupe
152,aston martin vanquish,303950,2018,aston martin,vanquish,convertible
153,aston martin db11,221247,2019,aston martin,db11,convertible
154,aston martin v8 vantage,149995,2019,aston martin,v8 vantage,coupe
155,audi a4,34400,2004,audi,a4,wagon
156,audi a6,43350,2004,audi,a6,sedan
157,audi a8,68500,2004,audi,a8,sedan
158,audi s4,50325,2004,audi,s4,sedan
159,audi tt,38075,2004,audi,tt,convertible
160,audi allroad,43450,2004,audi,allroad,wagon
161,audi a4,35025,2005,audi,a4,wagon
162,audi a6,46700,2005,audi,a6,sedan
163,audi a8,91995,2005,audi,a8,sedan
164,audi s4,50500,2005,audi,s4,sedan
165,audi tt,38325,2005,audi,tt,convertible
166,audi allroad,43750,2005,audi,allroad,wagon
167,audi a3,29360,2006,audi,a3,convertible
168,audi a4,36865,2006,audi,a4,wagon
169,audi a6,47295,2006,audi,a6,sedan
170,audi a8,93160,2006,audi,a8,sedan
171,audi s4,53325,2006,audi,s4,sedan
172,audi tt,40264,2006,audi,tt,convertible
173,audi a3,29660,2007,audi,a3,convertible
174,audi a4,37595,2007,audi,a4,wagon
175,audi a6,48625,2007,audi,a6,sedan
176,audi a8,94125,2007,audi,a8,sedan
177,audi q7,49900,2007,audi,q7,sport utility
178,audi rs 4,66000,2007,audi,rs 4,convertible
179,audi s4,52200,2007,audi,s4,sedan
