id,Name,MSRP,Year,Make,Model,Body Type,Mileage,Current_Price
0,acura mdx,39550,2004,acura,mdx,sport utility,172835.0,4995.0
1,acura mdx,39550,2004,acura,mdx,sport utility,207008.0,3499.0
2,acura rsx,21672,2004,acura,rsx,hatchback,129041.0,5398.0
3,acura rsx,21672,2004,acura,rsx,hatchback,137387.0,4998.0
4,acura rsx,21672,2004,acura,rsx,hatchback,180750.0,3000.0
5,acura rsx,21672,2004,acura,rsx,hatchback,178100.0,3000.0
6,acura rsx,21672,2004,acura,rsx,hatchback,115756.0,4000.0
7,acura rsx,21672,2004,acura,rsx,hatchback,46391.0,7500.0
8,acura rsx,21672,2004,acura,rsx,hatchback,130000.0,6995.0
9,acura tl,33750,2004,acura,tl,sedan,207189.0,3300.0
10,acura tl,33750,2004,acura,tl,sedan,179880.0,5490.0
11,acura tl,33750,2004,acura,tl,sedan,131800.0,6999.0
12,acura tl,33750,2004,acura,tl,sedan,125231.0,4995.0
13,acura tl,33750,2004,acura,tl,sedan,120235.0,4995.0
14,acura tl,33750,2004,acura,tl,sedan,119637.0,6938.0
15,acura tl,33750,2004,acura,tl,sedan,122204.0,8581.0
16,acura tl,33750,2004,acura,tl,sedan,193229.0,6999.0
17,acura tl,33750,2004,acura,tl,sedan,175000.0,6950.0
18,acura tl,33750,2004,acura,tl,sedan,226928.0,6858.0
19,acura tl,33750,2004,acura,tl,sedan,157561.0,7995.0
20,acura tl,33750,2004,acura,tl,sedan,86659.0,5995.0
21,acura tl,33750,2004,acura,tl,sedan,183324.0,3999.0
22,acura tl,33750,2004,acura,tl,sedan,191505.0,3500.0
23,acura tl,33750,2004,acura,tl,sedan,152033.0,799.0
24,acura tl,33750,2004,acura,tl,sedan,0.0,4866.0
25,acura tsx,27490,2004,acura,tsx,wagon,90289.0,7450.0
26,acura tsx,27490,2004,acura,tsx,wagon,233647.0,4000.0
27,acura tsx,27490,2004,acura,tsx,wagon,144780.0,3700.0
28,acura tsx,27490,2004,acura,tsx,wagon,174945.0,4100.0
29,acura tsx,27490,2004,acura,tsx,wagon,145284.0,4999.0
30,acura tsx,27490,2004,acura,tsx,wagon,129322.0,4995.0
31,acura tsx,27490,2004,acura,tsx,wagon,201841.0,3352.0
32,acura tsx,27490,2004,acura,tsx,wagon,174000.0,3500.0
33,acura tsx,27490,2004,acura,tsx,wagon,140000.0,4750.0
34,acura tsx,27490,2004,acura,tsx,wagon,203350.0,5998.0
35,acura mdx,40437,2005,acura,mdx,sport utility,161758.0,4260.0
36,acura nsx,89000,2005,acura,nsx,coupe,38000.0,89000.0
37,acura rl,49100,2005,acura,rl,sedan,145690.0,8475.0
38,acura rsx,21972,2005,acura,rsx,hatchback,135696.0,4450.0
39,acura rsx,21972,2005,acura,rsx,hatchback,103529.0,4499.0
40,acura rsx,21972,2005,acura,rsx,hatchback,132062.0,9995.0
41,acura rsx,21972,2005,acura,rsx,hatchback,133551.0,6998.0
42,acura rsx,21972,2005,acura,rsx,hatchback,121479.0,5500.0
43,acura rsx,21972,2005,acura,rsx,hatchback,183000.0,1995.0
44,acura tl,34200,2005,acura,tl,sedan,201315.0,5300.0
45,acura tl,34200,2005,acura,tl,sedan,66851.0,8495.0
46,acura tl,34200,2005,acura,tl,sedan,105553.0,6871.0
47,acura tl,34200,2005,acura,tl,sedan,127915.0,7995.0
48,acura tl,34200,2005,acura,tl,sedan,87100.0,8200.0
49,acura tl,34200,2005,acura,tl,sedan,88035.0,6995.0
50,acura tl,34200,2005,acura,tl,sedan,138122.0,7150.0
51,acura tl,34200,2005,acura,tl,sedan,173000.0,3500.0
52,acura tl,34200,2005,acura,tl,sedan,83270.0,7459.0
53,acura tl,34200,2005,acura,tl,sedan,203662.0,4040.0
54,acura tsx,28190,2005,acura,tsx,wagon,155851.0,5995.0
55,acura tsx,28190,2005,acura,tsx,wagon,111548.0,7900.0
56,acura tsx,28190,2005,acura,tsx,wagon,110448.0,7400.0
57,acura tsx,28190,2005,acura,tsx,wagon,172906.0,6488.0
58,acura tsx,28190,2005,acura,tsx,wagon,194252.0,3600.0
59,acura tsx,28190,2005,acura,tsx,wagon,189688.0,5292.0
60,acura tsx,28190,2005,acura,tsx,wagon,104307.0,7500.0
61,acura tsx,28190,2005,acura,tsx,wagon,42800.0,9450.0
62,acura tsx,28190,2005,acura,tsx,wagon,129068.0,6988.0
63,acura tsx,28190,2005,acura,tsx,wagon,176296.0,3199.0
64,acura tsx,28190,2005,acura,tsx,wagon,127343.0,5200.0
65,acura tsx,28190,2005,acura,tsx,wagon,96735.0,5600.0
66,acura tsx,28190,2005,acura,tsx,wagon,172000.0,3500.0
67,acura mdx,40662,2006,acura,mdx,sport utility,178512.0,4995.0
68,acura mdx,40662,2006,acura,mdx,sport utility,68755.0,9899.0
69,acura mdx,40662,2006,acura,mdx,sport utility,170129.0,6995.0
70,acura mdx,40662,2006,acura,mdx,sport utility,135540.0,6995.0
71,acura mdx,40662,2006,acura,mdx,sport utility,118617.0,6490.0
72,acura mdx,40662,2006,acura,mdx,sport utility,132877.0,7999.0
73,acura mdx,40662,2006,acura,mdx,sport utility,108196.0,5750.0
74,acura rl,51200,2006,acura,rl,sedan,96156.0,6995.0
75,acura rl,51200,2006,acura,rl,sedan,181917.0,5000.0
76,acura rl,51200,2006,acura,rl,sedan,49993.0,10885.0
77,acura rl,51200,2006,acura,rl,sedan,166543.0,6388.0
78,acura rl,51200,2006,acura,rl,sedan,107003.0,5900.0
79,acura rsx,22085,2006,acura,rsx,hatchback,113852.0,8334.0
80,acura rsx,22085,2006,acura,rsx,hatchback,142816.0,4495.0
81,acura rsx,22085,2006,acura,rsx,hatchback,80069.0,6994.0
82,acura rsx,22085,2006,acura,rsx,hatchback,89798.0,7196.0
83,acura rsx,22085,2006,acura,rsx,hatchback,125418.0,5885.0
84,acura rsx,22085,2006,acura,rsx,hatchback,115000.0,5200.0
85,acura rsx,22085,2006,acura,rsx,hatchback,117437.0,5995.0
86,acura tl,34425,2006,acura,tl,sedan,129163.0,7200.0
87,acura tl,34425,2006,acura,tl,sedan,97700.0,6310.0
88,acura tl,34425,2006,acura,tl,sedan,135232.0,5598.0
89,acura tl,34425,2006,acura,tl,sedan,56067.0,9586.0
90,acura tl,34425,2006,acura,tl,sedan,165835.0,5271.0
91,acura tl,34425,2006,acura,tl,sedan,189298.0,6000.0
92,acura tl,34425,2006,acura,tl,sedan,88733.0,7994.0
93,acura tl,34425,2006,acura,tl,sedan,183778.0,5534.0
94,acura tl,34425,2006,acura,tl,sedan,75097.0,8888.0
95,acura tl,34425,2006,acura,tl,sedan,137254.0,6650.0
96,acura tl,34425,2006,acura,tl,sedan,156803.0,5675.0
